,bert_umap_0,bert_umap_1,bert_umap_2,bert_umap_3,bert_umap_4,summary_umap_0,summary_umap_1,summary_umap_2,summary_umap_3,summary_umap_4
33,1.0701716,6.7804,9.167871,4.983617,5.6798763,8.666911,5.86974,3.1360705,5.851389,3.092917
34,-1.3340391,7.1589985,5.4819674,2.7372491,5.0670004,6.678696,7.15787,4.6050158,3.939631,3.8633308
35,4.9127474,6.3448305,10.679597,3.9689476,4.8440537,11.108773,5.777777,2.3166618,1.5329257,8.107935
36,-1.6933916,8.330062,4.7585545,3.2561805,5.6022983,6.8576846,7.321901,4.5605574,4.3519077,3.5803175
37,3.0511427,5.898093,9.678099,4.8729815,5.630896,7.417464,6.7825274,4.4396057,3.778626,2.6144812
38,0.5864427,7.5614448,4.359376,3.7543359,4.860477,9.369293,7.9946423,1.7538027,2.0566869,3.939851
39,0.47795776,7.6413393,4.3488727,3.7074823,4.861882,7.0580435,7.0135584,3.741795,3.9843,3.1045246
40,0.5938176,7.557314,4.3654246,3.757995,4.86127,8.833853,7.91106,1.9197884,2.5515864,3.5415702
41,0.41041481,7.686894,4.342046,3.6752567,4.8585405,6.7302938,7.1102896,4.373608,4.1107655,4.122966
42,0.61839956,7.53741,4.34979,3.773689,4.863572,9.096559,8.445022,2.111141,2.0508115,2.9734128
43,0.0903122,8.061012,3.9636245,3.3724146,4.5509396,8.07492,6.480827,4.2959847,4.338402,3.3802538
44,2.1557004,10.045264,7.9454365,3.2477906,3.9731414,8.470591,6.2655826,4.0885644,3.9275181,3.2234228
45,0.5501532,7.5783634,4.3534427,3.7444804,4.865922,8.004028,7.8847218,2.7055871,2.907896,2.9040082
46,0.7062991,7.459524,4.3611875,3.828742,4.8832717,8.340448,8.18197,2.2809308,2.61499,2.859607
47,0.594633,7.556459,4.3486047,3.7574036,4.8552895,8.58546,8.743688,2.3505952,2.179528,2.2870474
48,-1.5432938,7.5918045,5.196797,1.834241,4.0699587,7.4675303,6.800019,3.708789,4.9946895,2.436539
49,-0.7007659,6.428258,6.70142,3.893145,6.1453104,6.7641673,7.282277,4.304419,4.053882,3.9541278
50,5.0239697,-0.02564935,11.112973,3.4037204,6.6125073,1.3413012,4.135271,8.796627,4.159374,5.3094044
51,-1.2653522,7.0406423,5.849692,2.438512,5.0469084,7.695077,7.161662,2.9532053,3.9940689,3.1169167
52,0.33252913,6.43673,8.206725,3.3764353,6.1590962,6.4617405,6.8443594,4.28644,4.8442264,3.7423255
53,0.46491867,7.633678,4.3555837,3.7049234,4.8658357,9.292109,6.0586944,4.0236464,3.736028,3.0916152
